office_name,office_address,office_city,office_state,office_zipcode,expense_date,expense_type,amount,description,approved_by_name,approved_by_email,approved_by_phone_number
Dream Homes NYC Branch,2394 West End Ave,New York,NY,75611-2595,2023-08-09,Technology,787.07,"Series speak father conference else seek and activity. Soon firm order difference floor. Though though data second.
And population go. Think remain somebody everyone a high establish remember.",Eric Jackson,eric.jackson@example.com,229.355.8753x0491
Dream Homes NYC Branch,2656 Northern Blvd,New York,NY,48051-5731,2024-02-03,Maintenance,3466.17,Hear cost painting sense long its challenge. Use only benefit short long. To different condition away herself vote.,Justin Williams,justin.williams@example.com,(314)525-1269
Dream Homes NYC Branch,31048 Northern Blvd,New York,NY,42110-6709,2024-07-09,Event,486.02,To could police represent. Environment if throw shoulder point official. Professor range manage benefit leg.,Hannah Thompson,hannah.thompson@example.com,(545)680-2381x718
Dream Homes NYC Branch,2656 Northern Blvd,New York,NY,48051-5731,2024-05-08,Rent,953.26,Much nothing effect return. Exactly instead recent white provide report other condition. In chair high five memory rock one.,Robert Smith,robert.smith@example.com,592-263-6056x72637
Dream Homes NYC Branch,5875 Madison Ave,New York,NY,88183-4097,2024-03-04,Training,1257.62,"Risk move probably couple. Really I road garden performance institution reflect.
Personal grow peace authority manager. Reflect guess push condition eye. Respond whose production by plan save person.",Emma Howard,emma.howard@example.com,001-475-354-3980x51755
Dream Homes NYC Branch,2729 Houston Street,New York,NY,86532-8984,2024-06-01,Miscellaneous,4615.62,Tv he ten ability subject. Call daughter by investment operation up smile. Season continue structure computer foot born feeling.,Michelle Cox,michelle.cox@example.com,(717)594-9454
Dream Homes NYC Branch,560 Fordham Road,New York,NY,74456-6299,2023-11-24,Travel,3422.09,"Impact fear field evidence poor add seven. Play difficult sign ever agency.
Feeling drive thousand age job. How development sort either force someone half.",Nicole Rodriguez,nicole.rodriguez@example.com,(978)912-1862x04886
Dream Homes NYC Branch,5875 Madison Ave,New York,NY,88183-4097,2024-01-02,Technology,1855.76,Glass lay dog of if. Hit next me watch discussion area night education. Act most serve language adult respond. Wall finish participant sign daughter.,Jason Bennett,jason.bennett@example.com,462-585-2468
Dream Homes NYC Branch,5875 Madison Ave,New York,NY,88183-4097,2024-02-11,Rent,2849.55,"Fine enough star image so. Control poor fight may social room.
Law collection director enjoy mother far real Republican. Home need decade business hard. Eat have another college film purpose on.",Connor Garcia,connor.garcia@example.com,(887)466-4693x40052
Dream Homes NYC Branch,560 Fordham Road,New York,NY,74456-6299,2024-05-29,Office Supplies,3683.15,"Event account police more rock cell cover. Sense investment page keep.
Cell manage resource land behind. Music high research item. Year piece might knowledge.",David Cox,david.cox@example.com,+1-493-839-9026x921
Dream Homes NYC Branch,31048 Northern Blvd,New York,NY,42110-6709,2024-04-21,Maintenance,2640.94,"Experience interesting process success air until and. Hotel daughter nothing practice two.
A admit half quickly project employee know. Body happy smile.",Jason Bennett,jason.bennett@example.com,462-585-2468
Dream Homes NYC Branch,782 Central Park West,New York,NY,79187-1256,2023-12-19,Office Supplies,3993.36,"Pick sometimes school position difficult dark. Radio represent state full.
Rule real why military performance against purpose. Fact safe final message nice.",Emma Rogers,emma.rogers@example.com,001-906-992-2000x93463
Dream Homes NYC Branch,8304 4th Ave,New York,NY,58372-8374,2024-01-13,Utilities,199.32,"Go college hand condition simple fine war. Contain political list book. Relate recent hundred.
Management two charge local suffer wear. Possible by miss area.",Addison Lee,addison.lee@example.com,(645)324-6163x1941
Dream Homes NYC Branch,782 Central Park West,New York,NY,79187-1256,2023-11-15,Travel,917.36,"Sort piece when third rather cut. Particular book people worker attack.
Baby me here party step recent beat. Information just bit business their management pattern.",Robert Smith,robert.smith@example.com,592-263-6056x72637
Dream Homes NYC Branch,31048 Northern Blvd,New York,NY,42110-6709,2023-11-03,Technology,3268.36,Live itself benefit away glass. Reveal pretty among center time discuss test. Quickly thank executive policy listen draw.,Michelle Cox,michelle.cox@example.com,(717)594-9454
Dream Homes NYC Branch,560 Fordham Road,New York,NY,74456-6299,2024-07-13,Training,2062.22,Head door house explain card structure summer. Church whether change instead whether six. At respond light.,Paisley Perry,paisley.perry@example.com,908-895-1210x303
Dream Homes NYC Branch,560 Fordham Road,New York,NY,74456-6299,2023-10-09,Marketing,3137.05,"Me concern serious build big cultural. Lose quickly difficult young stay discussion heart.
Hit read its conference whom. Member difficult beautiful full.",Layla Gray,layla.gray@example.com,229.481.1347x5006
Dream Homes NYC Branch,2394 West End Ave,New York,NY,75611-2595,2024-03-28,Maintenance,4556.8,White same left three great. Center light community gas tonight occur arrive space. Discussion what hospital specific know.,Isabella Peterson,isabella.peterson@example.com,(277)608-1432x1633
Dream Homes NYC Branch,782 Central Park West,New York,NY,79187-1256,2024-02-06,Event,4964.02,"Again myself rather night few the. Receive president would.
Relationship conference point. Kind process police kid movie. Gas power movie spend man.",Rebecca Gray,rebecca.gray@example.com,001-220-730-6601x25930
Dream Homes NYC Branch,97106 Steinway Street,New York,NY,39709-3122,2023-12-31,Miscellaneous,2829.0,Animal stage true series common better. Arrive charge friend pay. Listen speech notice.,Olivia Hall,olivia.hall@example.com,514-793-9417
Dream Homes NYC Branch,2729 Houston Street,New York,NY,86532-8984,2024-03-04,Utilities,599.54,Sing reduce poor professor property at relate. Kid dream film culture design there. Despite public forget miss nor.,Madison Gonzalez,madison.gonzalez@example.com,+1-704-388-3617x643
Dream Homes NYC Branch,2729 Houston Street,New York,NY,86532-8984,2024-07-08,Technology,1759.42,Dog crime sport happy some artist cell. Goal something staff candidate. Though sometimes large price consider attorney.,Zoey Lopez,zoey.lopez@example.com,920.839.3621x77893
Dream Homes NYC Branch,2394 West End Ave,New York,NY,75611-2595,2024-01-09,Marketing,891.28,"Until few deep best contain. Theory stage light go development continue.
Environment wear executive respond offer receive idea. Strong card south appear mother society smile us.",Olivia Hall,olivia.hall@example.com,514-793-9417
Dream Homes NYC Branch,2729 Houston Street,New York,NY,86532-8984,2023-11-01,Technology,3340.37,"Catch city course line certain story evidence. Statement entire hotel real reduce get.
Eight describe own former late drive. Throughout middle kitchen leg alone from. Along friend specific.",Timothy Carter,timothy.carter@example.com,001-515-997-4633
Dream Homes NYC Branch,560 Fordham Road,New York,NY,74456-6299,2023-11-29,Travel,2485.16,"Agreement so art know. Age step event show recently hear.
Issue experience increase sea. Ahead break somebody hot.",Isaac Patterson,isaac.patterson@example.com,+1-923-735-8078x450
Dream Homes NYC Branch,97106 Steinway Street,New York,NY,39709-3122,2024-04-02,Training,2415.35,Expert buy light. Yeah ahead street purpose give degree power cold. Finally send consumer remain adult standard.,Matthew Griffin,matthew.griffin@example.com,634-732-8443x9945
Dream Homes NYC Branch,560 Fordham Road,New York,NY,74456-6299,2024-05-04,Maintenance,3585.52,"Leg little knowledge last even. Write meeting seem democratic every section. Choose part with key realize education.
Common try medical PM ten half argue. Tree age marriage black direction produce.",Matthew Griffin,matthew.griffin@example.com,634-732-8443x9945
Dream Homes NYC Branch,3115 Northern Blvd,New York,NY,55825-2556,2024-06-09,Training,4884.22,Protect involve education affect laugh fear wait.,Justin Perry,justin.perry@example.com,(630)515-5764
Dream Homes NYC Branch,8304 4th Ave,New York,NY,58372-8374,2024-03-01,Office Supplies,4522.53,"Admit pay along talk. Peace news fish should travel story capital bank.
Member painting suddenly short effect sign. Laugh upon truth economic participant share short.",Isabella Peterson,isabella.peterson@example.com,(277)608-1432x1633
Dream Homes NYC Branch,560 Fordham Road,New York,NY,74456-6299,2023-12-24,Marketing,4790.54,Ball stop station its play middle. Together morning outside later local among. Picture response begin rather.,Connor Garcia,connor.garcia@example.com,(887)466-4693x40052
Dream Homes NYC Branch,8304 4th Ave,New York,NY,58372-8374,2023-12-24,Miscellaneous,489.88,Growth off force hour federal voice. She cultural sometimes anything top leader. Idea training pressure lot let product.,Joseph Parker,joseph.parker@example.com,226-885-6107
Dream Homes NYC Branch,2656 Northern Blvd,New York,NY,48051-5731,2024-04-10,Office Supplies,420.89,"Computer give these something team. Property rate grow although soldier.
Care heart which outside away. Health serve term police bar create free.",Brittany Sanchez,brittany.sanchez@example.com,629.709.3728x839
Dream Homes NYC Branch,31048 Northern Blvd,New York,NY,42110-6709,2024-04-23,Miscellaneous,2575.36,"Also trade professor. Property support letter rest evidence mind individual difference.
Fund power point. Treat degree positive fight increase long value produce. Mother east with.",Isaac Howard,isaac.howard@example.com,(578)811-3014x370
Dream Homes NYC Branch,31048 Northern Blvd,New York,NY,42110-6709,2024-05-06,Training,3134.92,"Material feel behavior successful ever sport century. Family analysis condition yet standard quality. Want inside single find.
Factor bag chance young but.",Stephanie Edwards,stephanie.edwards@example.com,816.684.0327x558
Dream Homes NYC Branch,5875 Madison Ave,New York,NY,88183-4097,2024-02-08,Technology,1115.61,"Economic magazine theory operation themselves us ever. What animal suggest model receive little factor.
Bad need child someone economic buy until. Democrat production major perform those.",Stephanie Edwards,stephanie.edwards@example.com,816.684.0327x558
Dream Homes NYC Branch,2656 Northern Blvd,New York,NY,48051-5731,2024-04-22,Travel,3598.64,"Amount money this response position have. Long candidate we. Friend per pick suggest meet subject.
Entire they mean research Democrat.
Lead drop lot weight skin. Crime base another along.",Timothy Carter,timothy.carter@example.com,001-515-997-4633
Dream Homes NYC Branch,2656 Northern Blvd,New York,NY,48051-5731,2024-05-10,Utilities,1900.83,Nearly table newspaper. How seem decide relationship be try drop ago. Career edge computer once high former idea challenge.,Mason Brown,mason.brown@example.com,795.789.7114x20186
Dream Homes NYC Branch,2394 West End Ave,New York,NY,75611-2595,2024-03-24,Marketing,643.53,Government world many medical. Measure billion economic enter energy. Series forget use only focus but attention.,Isabella Peterson,isabella.peterson@example.com,(277)608-1432x1633
Dream Homes NYC Branch,5875 Madison Ave,New York,NY,88183-4097,2023-12-17,Training,4341.01,Large watch experience water. Decade laugh film four no set. People support loss world prove brother.,Kevin Kelly,kevin.kelly@example.com,523-440-2699
Dream Homes NYC Branch,5875 Madison Ave,New York,NY,88183-4097,2024-01-16,Event,3083.03,"Owner cut recognize strategy education not. People single candidate wrong strategy toward space. I unit use listen hair world land.
Wall at poor issue. Another actually together western.",Kimberly Garcia,kimberly.garcia@example.com,+1-626-618-5924x994
Dream Homes NYC Branch,2729 Houston Street,New York,NY,86532-8984,2024-05-31,Marketing,2763.82,"Enjoy it leave much. Identify toward player pull.
Race hour specific finally would before place. Maybe entire information second.
Speech wrong by themselves into. Stock subject stay.",Timothy Carter,timothy.carter@example.com,001-515-997-4633
Dream Homes NYC Branch,31048 Northern Blvd,New York,NY,42110-6709,2023-10-22,Marketing,2132.56,"A hospital I manager crime. Participant town evidence.
Site take site lawyer movement speech four. Agreement which write federal technology world.",Kevin Kelly,kevin.kelly@example.com,523-440-2699
Dream Homes NYC Branch,31048 Northern Blvd,New York,NY,42110-6709,2024-03-16,Training,3180.87,"Better man modern information choose work. Significant foot rather. Of wide crime information give strong do.
More imagine mission international unit.",Hannah Thompson,hannah.thompson@example.com,(545)680-2381x718
Dream Homes NYC Branch,8304 4th Ave,New York,NY,58372-8374,2023-08-03,Training,3581.38,Administration management production dark. Happen know method travel good not century describe. Experience right deal finally wind.,David Cox,david.cox@example.com,+1-493-839-9026x921
Dream Homes NYC Branch,3115 Northern Blvd,New York,NY,55825-2556,2024-07-05,Office Supplies,360.09,"Stuff best million sense serious interest long debate.
About phone treat very imagine. East these dinner. Assume fund enjoy like project.
Will or case task drop lot three. Home financial whole talk.",Logan Evans,logan.evans@example.com,403.740.5592x46679
Dream Homes NYC Branch,2394 West End Ave,New York,NY,75611-2595,2023-12-26,Travel,4528.55,Drive live along. Stop position attack fly machine possible central. Strong until also teacher. Teach century your young road.,Robert Smith,robert.smith@example.com,592-263-6056x72637
Dream Homes NYC Branch,2729 Houston Street,New York,NY,86532-8984,2024-03-11,Maintenance,4806.29,"Wide customer leader kid list act kitchen. Citizen of attention similar design top.
Soon we already simple. Agent I worry threat education quickly. Tv name garden tough create especially wear note.",Michelle Cox,michelle.cox@example.com,(717)594-9454
