name,email,phone_number,date_of_birth,address,city,state,zipcode,neighborhood,office_phone_number,office_email,employment_status,sales_total,hire_date,termination_date,license_number,specialties,rating
Connor Gonzales,connor.gonzales@example.com,001-695-788-9353x6094,1974-08-25,1213 Columbus Ave,New York,NY,26878-8656,Staten Island,(542)607-8061,ashley80@lopez-barnes.info,On Leave,0,2019-10-13,,,,
Kevin Kelly,kevin.kelly@example.com,523-440-2699,1990-06-19,7047 Bowery,New York,NY,25595-1700,Brooklyn,(355)201-6287x71066,wayne87@morrison.org,Active,0,2023-02-10,,sJC-4354-8004,Run line old investment trip need.,1.74
Logan Evans,logan.evans@example.com,403.740.5592x46679,1980-02-23,959 Richmond Ave,New York,NY,63009-6865,Brooklyn,+1-322-536-9361x07845,grantandrew@rodriguez.com,Active,0,2023-05-17,,,,
Robert Wilson,robert.wilson@example.com,359.701.5667x1089,1974-12-20,222 Grand Concourse,New York,NY,76593-2069,Staten Island,(542)607-8061,ashley80@lopez-barnes.info,On Leave,0,2023-04-10,,BeG-1710-3731,Good task break health performance source want.,4.64
Benjamin Flores,benjamin.flores@example.com,001-483-928-9591x4810,1966-11-06,806 Queens Blvd,New York,NY,46875-7130,Bronx,+1-959-360-3977x3912,aguirredavid@kaufman-johnson.com,Terminated,0,2022-02-15,,,,
Isaac Patterson,isaac.patterson@example.com,+1-923-735-8078x450,1989-11-08,701 Northern Blvd,New York,NY,16686-7472,Bronx,001-928-749-7227x1121,thomasmartin@watson.info,Active,0,2024-04-29,,xIL-1155-2601,North issue professor answer act book.,4.53
Timothy Carter,timothy.carter@example.com,001-515-997-4633,1981-02-12,784 Houston Street,New York,NY,69914-1820,Queens,+1-322-536-9361x07845,grantandrew@rodriguez.com,Active,0,2020-05-04,,,,
Justin Perry,justin.perry@example.com,(630)515-5764,1986-08-13,90691 West End Ave,New York,NY,30810-6801,Staten Island,+1-318-458-4428,morrisjonathan@mullen-smith.info,Inactive,0,2021-10-10,,RRL-9682-6861,Medical career they represent sometimes morning manager.,2.46
Zachary Alexander,zachary.alexander@example.com,376-721-5513,1998-04-10,4465 3rd Ave,New York,NY,31391-8297,Brooklyn,223.246.3242x6925,dturner@davis.info,On Leave,0,2022-03-18,,,,
Justin Baker,justin.baker@example.com,389-947-1867,1944-06-08,0127 Central Park West,New York,NY,22108-1526,Queens,+1-318-458-4428,morrisjonathan@mullen-smith.info,On Leave,0,2024-07-25,,CcR-3236-1767,Recent race artist nice.,4.42
Benjamin Turner,benjamin.turner@example.com,540.533.2478,2005-06-11,090 West End Ave,New York,NY,13875-3210,Manhattan,732-682-4432,melissa69@brock.com,Terminated,0,2023-02-14,,,,
Madison Gonzalez,madison.gonzalez@example.com,+1-704-388-3617x643,1952-11-26,7644 Bleecker Street,New York,NY,97910-8991,Manhattan,+1-959-360-3977x3912,aguirredavid@kaufman-johnson.com,Active,0,2021-06-03,2021-02-24,rVw-2204-9799,Bar performance resource quite whatever soon return.,3.19
Rebecca Gray,rebecca.gray@example.com,001-220-730-6601x25930,2002-09-06,9036 Canal Street,New York,NY,14094-4447,Queens,(542)607-8061,ashley80@lopez-barnes.info,On Leave,0,2022-11-14,,,,
Robert Smith,robert.smith@example.com,592-263-6056x72637,1947-03-06,5199 5th Ave,New York,NY,77958-2636,Queens,+1-959-360-3977x3912,aguirredavid@kaufman-johnson.com,On Leave,0,2021-10-17,,pSV-0219-3014,Every evidence necessary chair why value.,1.56
Emma Howard,emma.howard@example.com,001-475-354-3980x51755,1979-02-06,0317 3rd Ave,New York,NY,50964-1837,Brooklyn,(355)201-6287x71066,wayne87@morrison.org,Inactive,0,2022-08-19,,,,
Addison Lee,addison.lee@example.com,(645)324-6163x1941,1995-04-07,4303 Central Park West,New York,NY,48848-9450,Bronx,001-928-749-7227x1121,thomasmartin@watson.info,Terminated,0,2023-11-29,,kQB-8032-2374,Stand floor attorney.,3.99
Zoey Lopez,zoey.lopez@example.com,920.839.3621x77893,1960-10-05,802 Fulton Street,New York,NY,10048-8778,Bronx,+1-959-360-3977x3912,aguirredavid@kaufman-johnson.com,Terminated,0,2023-05-23,,,,
Rachel White,rachel.white@example.com,6899585841,1944-12-07,11251 Canal Street,New York,NY,38437-8938,Queens,732-682-4432,melissa69@brock.com,On Leave,0,2019-08-25,2024-01-09,gxB-3805-6622,Without letter event.,2.01
Scarlett Watson,scarlett.watson@example.com,329-636-8958x8731,1945-12-11,2258 Central Park West,New York,NY,11841-1259,Staten Island,+1-322-536-9361x07845,grantandrew@rodriguez.com,Inactive,0,2023-02-21,2020-12-04,,,
Emma Rogers,emma.rogers@example.com,001-906-992-2000x93463,1997-07-07,1260 Fordham Road,New York,NY,51391-4402,Brooklyn,001-639-399-9450x069,bobbystanley@nelson.info,Terminated,0,2023-01-12,,zOx-1358-6533,Them father never skill thus than once.,4.26
Isaac Torres,isaac.torres@example.com,+1-544-366-2819x5024,1995-12-03,36086 Central Park West,New York,NY,47573-2767,Manhattan,+1-322-536-9361x07845,grantandrew@rodriguez.com,Active,0,2024-02-01,2021-10-07,,,
David Edwards,david.edwards@example.com,+1-594-364-5939x668,1971-09-09,4924 Victory Blvd,New York,NY,61601-2388,Staten Island,+1-959-360-3977x3912,aguirredavid@kaufman-johnson.com,Terminated,0,2022-02-26,2022-09-25,SAo-6093-5598,Great put inside life cover election care.,1.31
Isabella Peterson,isabella.peterson@example.com,(277)608-1432x1633,1951-09-10,3561 Mulberry Street,New York,NY,71266-1812,Manhattan,001-928-749-7227x1121,thomasmartin@watson.info,Active,0,2021-02-07,2024-05-25,,,
Eric Jackson,eric.jackson@example.com,229.355.8753x0491,1959-01-11,34901 Northern Blvd,New York,NY,40873-6200,Staten Island,+1-318-458-4428,morrisjonathan@mullen-smith.info,Inactive,0,2023-04-04,,CZZ-7138-2466,Down kitchen since difficult.,3.87
Justin Williams,justin.williams@example.com,(314)525-1269,1979-06-15,24626 Columbus Ave,New York,NY,73558-1924,Brooklyn,(542)607-8061,ashley80@lopez-barnes.info,Terminated,0,2023-04-11,,,,
Jessica Brown,jessica.brown@example.com,001-304-392-5145x4355,1966-03-11,97782 4th Ave,New York,NY,51093-3635,Brooklyn,(542)607-8061,ashley80@lopez-barnes.info,On Leave,0,2021-04-06,,hhe-6674-5974,Pm reason stage.,3.16
Michelle Cox,michelle.cox@example.com,(717)594-9454,1983-07-02,848 Bowery,New York,NY,68492-3203,Staten Island,+1-318-458-4428,morrisjonathan@mullen-smith.info,Active,0,2021-03-31,,,,
Nicole Rodriguez,nicole.rodriguez@example.com,(978)912-1862x04886,1976-11-24,7775 3rd Ave,New York,NY,48426-4091,Bronx,+1-318-458-4428,morrisjonathan@mullen-smith.info,On Leave,0,2023-05-19,,MiF-0690-8230,Age majority today history deal.,1.26
Hannah Thompson,hannah.thompson@example.com,(545)680-2381x718,1974-12-24,34194 Victory Blvd,New York,NY,71269-4206,Queens,(355)201-6287x71066,wayne87@morrison.org,Terminated,0,2024-04-18,,,,
James Patterson,james.patterson@example.com,606.768.2856,1977-06-22,75363 Queens Blvd,New York,NY,28615-4616,Bronx,(355)201-6287x71066,wayne87@morrison.org,Active,0,2020-06-19,,nLi-9047-2478,Individual hard well consider join nature course.,2.48
Isaac Green,isaac.green@example.com,421.697.8019x1729,2002-03-21,382 Hylan Blvd,New York,NY,90288-6362,Queens,223.246.3242x6925,dturner@davis.info,Active,0,2022-07-15,2022-09-08,,,
Olivia Hall,olivia.hall@example.com,514-793-9417,1983-12-21,794 Forest Ave,New York,NY,98083-1702,Manhattan,+1-959-360-3977x3912,aguirredavid@kaufman-johnson.com,Active,0,2020-06-26,,zuw-6983-0950,Ok key several quality.,3.8
Zoey Collins,zoey.collins@example.com,001-220-438-9766x648,2004-10-08,165 Houston Street,New York,NY,82144-7285,Brooklyn,+1-322-536-9361x07845,grantandrew@rodriguez.com,Terminated,0,2020-09-18,2019-12-24,,,
Isaac Howard,isaac.howard@example.com,(578)811-3014x370,1950-12-23,471 Mulberry Street,New York,NY,13838-3365,Manhattan,+1-959-360-3977x3912,aguirredavid@kaufman-johnson.com,On Leave,0,2020-04-20,,iEg-4850-1130,Compare we star top sport performance.,3.08
Layla Gray,layla.gray@example.com,229.481.1347x5006,1978-08-09,40379 Mulberry Street,New York,NY,87238-6686,Queens,+1-318-458-4428,morrisjonathan@mullen-smith.info,Inactive,0,2022-08-15,,,,
